"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create exercise","LMS service","Thu Oct 30 21:22:01 UTC 2025","passed","Thu Oct 30 21:22:01 UTC 2025","Create entity","Exercises","",""
"","262","Create file with empty directory","LMS service","Thu Oct 30 21:22:05 UTC 2025","passed","Thu Oct 30 21:22:05 UTC 2025","Validate entity","Files","",""
"","19","Delete file","LMS service","Thu Oct 30 21:22:06 UTC 2025","passed","Thu Oct 30 21:22:06 UTC 2025","Delete entity","Files","",""
"","559","Create user","LMS service","Thu Oct 30 21:22:07 UTC 2025","passed","Thu Oct 30 21:22:07 UTC 2025","Create entity","Users","",""
"","260","Get file with incorrect file id","LMS service","Thu Oct 30 21:22:06 UTC 2025","passed","Thu Oct 30 21:22:07 UTC 2025","Validate entity","Files","",""
"","267","Create file","LMS service","Thu Oct 30 21:22:03 UTC 2025","passed","Thu Oct 30 21:22:04 UTC 2025","Create entity","Files","",""
"","14","Get user me","LMS service","Thu Oct 30 21:22:08 UTC 2025","passed","Thu Oct 30 21:22:08 UTC 2025","Get entity","Users","",""
"","288","Update exercise","LMS service","Thu Oct 30 21:22:01 UTC 2025","passed","Thu Oct 30 21:22:01 UTC 2025","Update entity","Exercises","",""
"","28","Create course","LMS service","Thu Oct 30 21:22:00 UTC 2025","passed","Thu Oct 30 21:22:00 UTC 2025","Create entity","Courses","",""
"","14","Get exercises","LMS service","Thu Oct 30 21:22:03 UTC 2025","passed","Thu Oct 30 21:22:03 UTC 2025","Get entities","Exercises","",""
"","552","Create user","LMS service","Thu Oct 30 21:22:06 UTC 2025","passed","Thu Oct 30 21:22:07 UTC 2025","Create entity","Users","",""
"","259","Create file with empty filename","LMS service","Thu Oct 30 21:22:04 UTC 2025","passed","Thu Oct 30 21:22:05 UTC 2025","Validate entity","Files","",""
"","307","Update course","LMS service","Thu Oct 30 21:21:59 UTC 2025","passed","Thu Oct 30 21:21:59 UTC 2025","Update entity","Courses","",""
"","27","Get courses","LMS service","Thu Oct 30 21:21:59 UTC 2025","passed","Thu Oct 30 21:21:59 UTC 2025","Get entities","Courses","",""
"","19","Get exercise","LMS service","Thu Oct 30 21:22:02 UTC 2025","passed","Thu Oct 30 21:22:02 UTC 2025","Get entity","Exercises","",""
"","288","Create user","LMS service","Thu Oct 30 21:22:07 UTC 2025","passed","Thu Oct 30 21:22:07 UTC 2025","Create entity","Users","",""
"","13","Get file","LMS service","Thu Oct 30 21:22:04 UTC 2025","passed","Thu Oct 30 21:22:04 UTC 2025","Get entity","Files","",""
"","550","Login with correct email and password","LMS service","Thu Oct 30 21:21:58 UTC 2025","passed","Thu Oct 30 21:21:58 UTC 2025","Login","Authentication","",""
"","290","Delete exercise","LMS service","Thu Oct 30 21:22:02 UTC 2025","passed","Thu Oct 30 21:22:03 UTC 2025","Delete entity","Exercises","",""
