"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file","LMS service","Thu Oct 30 22:25:30 UTC 2025","passed","Thu Oct 30 22:25:30 UTC 2025","Get entity","Files","",""
"","19","Get exercise","LMS service","Thu Oct 30 22:25:28 UTC 2025","passed","Thu Oct 30 22:25:28 UTC 2025","Get entity","Exercises","",""
"","21","Create exercise","LMS service","Thu Oct 30 22:25:27 UTC 2025","passed","Thu Oct 30 22:25:27 UTC 2025","Create entity","Exercises","",""
"","23","Get courses","LMS service","Thu Oct 30 22:25:25 UTC 2025","passed","Thu Oct 30 22:25:25 UTC 2025","Get entities","Courses","",""
"","549","Create user","LMS service","Thu Oct 30 22:25:32 UTC 2025","passed","Thu Oct 30 22:25:32 UTC 2025","Create entity","Users","",""
"","29","Create course","LMS service","Thu Oct 30 22:25:26 UTC 2025","passed","Thu Oct 30 22:25:26 UTC 2025","Create entity","Courses","",""
"","255","Get file with incorrect file id","LMS service","Thu Oct 30 22:25:32 UTC 2025","passed","Thu Oct 30 22:25:32 UTC 2025","Validate entity","Files","",""
"","549","Create user","LMS service","Thu Oct 30 22:25:32 UTC 2025","passed","Thu Oct 30 22:25:33 UTC 2025","Create entity","Users","",""
"","551","Create user","LMS service","Thu Oct 30 22:25:32 UTC 2025","passed","Thu Oct 30 22:25:33 UTC 2025","Create entity","Users","",""
"","300","Update course","LMS service","Thu Oct 30 22:25:25 UTC 2025","passed","Thu Oct 30 22:25:25 UTC 2025","Update entity","Courses","",""
"","264","Create file with empty filename","LMS service","Thu Oct 30 22:25:30 UTC 2025","passed","Thu Oct 30 22:25:31 UTC 2025","Validate entity","Files","",""
"","251","Create file with empty directory","LMS service","Thu Oct 30 22:25:31 UTC 2025","passed","Thu Oct 30 22:25:31 UTC 2025","Validate entity","Files","",""
"","283","Login with correct email and password","LMS service","Thu Oct 30 22:25:24 UTC 2025","passed","Thu Oct 30 22:25:24 UTC 2025","Login","Authentication","",""
"","286","Update exercise","LMS service","Thu Oct 30 22:25:27 UTC 2025","passed","Thu Oct 30 22:25:27 UTC 2025","Update entity","Exercises","",""
"","285","Delete exercise","LMS service","Thu Oct 30 22:25:28 UTC 2025","passed","Thu Oct 30 22:25:29 UTC 2025","Delete entity","Exercises","",""
"","18","Delete file","LMS service","Thu Oct 30 22:25:32 UTC 2025","passed","Thu Oct 30 22:25:32 UTC 2025","Delete entity","Files","",""
"","250","Create file","LMS service","Thu Oct 30 22:25:29 UTC 2025","passed","Thu Oct 30 22:25:30 UTC 2025","Create entity","Files","",""
"","15","Get exercises","LMS service","Thu Oct 30 22:25:29 UTC 2025","passed","Thu Oct 30 22:25:29 UTC 2025","Get entities","Exercises","",""
"","11","Get user me","LMS service","Thu Oct 30 22:25:34 UTC 2025","passed","Thu Oct 30 22:25:34 UTC 2025","Get entity","Users","",""
